"TIME","GEO","AGE","AGEDEF","C_BIRTH","UNIT","SEX","Value","Flag and Footnotes"
"2008","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Unknown","Number","Total","13 701",""
"2008","Germany (until 1990 former territory of the FRG)","From 10 to 14 years","Age reached during the year","Total","Number","Total","15 859",""
"2008","Germany (until 1990 former territory of the FRG)","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total","4 166",""
"2008","Germany (until 1990 former territory of the FRG)","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Germany (until 1990 former territory of the FRG)","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Germany (until 1990 former territory of the FRG)","From 10 to 14 years","Age reached during the year","Unknown","Number","Total","451",""
"2008","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Age reached during the year","Total","Number","Total","607 845",""
"2008","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total","71 536",""
"2008","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Germany (until 1990 former territory of the FRG)","From 15 to 64 years","Age reached during the year","Unknown","Number","Total","11 854",""
"2008","Germany (until 1990 former territory of the FRG)","65 years or over","Age reached during the year","Total","Number","Total","14 768",""
"2008","Germany (until 1990 former territory of the FRG)","65 years or over","Age reached during the year","Reporting country","Number","Total","3 685",""
"2008","Germany (until 1990 former territory of the FRG)","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Germany (until 1990 former territory of the FRG)","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Germany (until 1990 former territory of the FRG)","65 years or over","Age reached during the year","Unknown","Number","Total","280",""
"2008","Estonia","Total","Age reached during the year","Total","Number","Total","3 671",""
"2008","Estonia","Total","Age reached during the year","Reporting country","Number","Total","1 185",""
"2008","Estonia","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Estonia","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Estonia","Total","Age reached during the year","Unknown","Number","Total","80",""
"2008","Estonia","From 10 to 14 years","Age reached during the year","Total","Number","Total","69",""
"2008","Estonia","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total","27",""
"2008","Estonia","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Estonia","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
