"TIME","GEO","PROJECTION","UNIT","SEX","AGE","Value","Flag and Footnotes"
"2035","European Union - 27 countries (from 2020)","Baseline projections","Person","Total","Total","448 233 662",""
"2035","Finland","Baseline projections","Person","Total","Total","5 480 971",""
"2035","France","Baseline projections","Person","Total","Total","69 354 321",""
"2035","Croatia","Baseline projections","Person","Total","Total","3 721 032",""
"2035","Hungary","Baseline projections","Person","Total","Total","9 532 830",""
"2035","Ireland","Baseline projections","Person","Total","Total","5 714 371",""
"2035","Iceland","Baseline projections","Person","Total","Total","437 131",""
"2035","Italy","Baseline projections","Person","Total","Total","59 709 982",""
"2035","Liechtenstein","Baseline projections","Person","Total","Total","41 861",""
"2035","Lithuania","Baseline projections","Person","Total","Total","2 452 313",""
"2035","Luxembourg","Baseline projections","Person","Total","Total","718 104",""
"2035","Latvia","Baseline projections","Person","Total","Total","1 618 827",""
"2035","Malta","Baseline projections","Person","Total","Total","614 214",""
"2035","Netherlands","Baseline projections","Person","Total","Total","18 119 551",""
"2035","Norway","Baseline projections","Person","Total","Total","5 941 336",""
"2035","Poland","Baseline projections","Person","Total","Total","36 369 328",""
"2035","Portugal","Baseline projections","Person","Total","Total","9 948 994",""
"2035","Romania","Baseline projections","Person","Total","Total","17 169 288",""
"2035","Sweden","Baseline projections","Person","Total","Total","11 405 423",""
"2035","Slovenia","Baseline projections","Person","Total","Total","2 094 654",""
"2035","Slovakia","Baseline projections","Person","Total","Total","5 384 612",""
"2040","Austria","Baseline projections","Person","Total","Total","9 292 363",""
"2040","Belgium","Baseline projections","Person","Total","Total","11 894 881",""
"2040","Bulgaria","Baseline projections","Person","Total","Total","6 016 719",""
"2040","Switzerland","Baseline projections","Person","Total","Total","9 542 915",""
"2040","Cyprus","Baseline projections","Person","Total","Total","1 012 858",""
"2040","Czechia","Baseline projections","Person","Total","Total","10 625 402",""
"2040","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","83 178 426",""
"2040","Denmark","Baseline projections","Person","Total","Total","6 055 503",""
"2040","Euro area - 19 countries  (from 2015)","Baseline projections","Person","Total","Total","347 072 411",""
"2040","Estonia","Baseline projections","Person","Total","Total","1 281 555",""
"2040","Greece","Baseline projections","Person","Total","Total","9 910 798",""
"2040","Spain","Baseline projections","Person","Total","Total","49 377 094",""
"2040","European Union - 27 countries (from 2020)","Baseline projections","Person","Total","Total","446 754 877",""
"2040","Finland","Baseline projections","Person","Total","Total","5 426 143",""
"2040","France","Baseline projections","Person","Total","Total","69 802 409",""
"2040","Croatia","Baseline projections","Person","Total","Total","3 612 487",""
"2040","Hungary","Baseline projections","Person","Total","Total","9 441 139",""
"2040","Ireland","Baseline projections","Person","Total","Total","5 904 540",""
"2040","Iceland","Baseline projections","Person","Total","Total","455 871",""
"2040","Italy","Baseline projections","Person","Total","Total","59 375 006",""
"2040","Liechtenstein","Baseline projections","Person","Total","Total","42 531",""
"2040","Lithuania","Baseline projections","Person","Total","Total","2 339 698",""
"2040","Luxembourg","Baseline projections","Person","Total","Total","739 137",""
"2040","Latvia","Baseline projections","Person","Total","Total","1 536 108",""
"2040","Malta","Baseline projections","Person","Total","Total","634 910",""
"2040","Netherlands","Baseline projections","Person","Total","Total","18 185 792",""
"2040","Norway","Baseline projections","Person","Total","Total","6 095 952",""
"2040","Poland","Baseline projections","Person","Total","Total","35 661 656",""
"2040","Portugal","Baseline projections","Person","Total","Total","9 786 632",""
"2040","Romania","Baseline projections","Person","Total","Total","16 576 187",""
"2040","Sweden","Baseline projections","Person","Total","Total","11 693 373",""
"2040","Slovenia","Baseline projections","Person","Total","Total","2 081 622",""
"2040","Slovakia","Baseline projections","Person","Total","Total","5 312 439",""
"2045","Austria","Baseline projections","Person","Total","Total","9 332 840",""
"2045","Belgium","Baseline projections","Person","Total","Total","11 927 324",""
"2045","Bulgaria","Baseline projections","Person","Total","Total","5 828 425",""
"2045","Switzerland","Baseline projections","Person","Total","Total","9 756 963",""
"2045","Cyprus","Baseline projections","Person","Total","Total","1 030 807",""
"2045","Czechia","Baseline projections","Person","Total","Total","10 571 354",""
"2045","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","82 983 422",""
"2045","Denmark","Baseline projections","Person","Total","Total","6 080 087",""
"2045","Euro area - 19 countries  (from 2015)","Baseline projections","Person","Total","Total","346 243 274",""
"2045","Estonia","Baseline projections","Person","Total","Total","1 269 633",""
"2045","Greece","Baseline projections","Person","Total","Total","9 713 851",""
"2045","Spain","Baseline projections","Person","Total","Total","49 479 880",""
"2045","European Union - 27 countries (from 2020)","Baseline projections","Person","Total","Total","444 471 621",""
"2045","Finland","Baseline projections","Person","Total","Total","5 361 229",""
"2045","France","Baseline projections","Person","Total","Total","70 015 780",""
"2045","Croatia","Baseline projections","Person","Total","Total","3 502 067",""
"2045","Hungary","Baseline projections","Person","Total","Total","9 350 754",""
"2045","Ireland","Baseline projections","Person","Total","Total","6 073 416",""
"2045","Iceland","Baseline projections","Person","Total","Total","473 187",""
"2045","Italy","Baseline projections","Person","Total","Total","58 870 898",""
"2045","Liechtenstein","Baseline projections","Person","Total","Total","43 075",""
"2045","Lithuania","Baseline projections","Person","Total","Total","2 236 142",""
"2045","Luxembourg","Baseline projections","Person","Total","Total","756 215",""
"2045","Latvia","Baseline projections","Person","Total","Total","1 462 550",""
"2045","Malta","Baseline projections","Person","Total","Total","652 604",""
"2045","Netherlands","Baseline projections","Person","Total","Total","18 185 796",""
"2045","Norway","Baseline projections","Person","Total","Total","6 232 241",""
"2045","Poland","Baseline projections","Person","Total","Total","34 897 373",""
"2045","Portugal","Baseline projections","Person","Total","Total","9 593 258",""
"2045","Romania","Baseline projections","Person","Total","Total","16 018 918",""
"2045","Sweden","Baseline projections","Person","Total","Total","11 979 369",""
"2045","Slovenia","Baseline projections","Person","Total","Total","2 065 380",""
"2045","Slovakia","Baseline projections","Person","Total","Total","5 232 249",""
"2050","Austria","Baseline projections","Person","Total","Total","9 345 829",""
"2050","Belgium","Baseline projections","Person","Total","Total","11 926 987",""
"2050","Bulgaria","Baseline projections","Person","Total","Total","5 655 026",""
"2050","Switzerland","Baseline projections","Person","Total","Total","9 959 383",""
"2050","Cyprus","Baseline projections","Person","Total","Total","1 046 219",""
"2050","Czechia","Baseline projections","Person","Total","Total","10 530 251",""
"2050","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","82 669 724",""
"2050","Denmark","Baseline projections","Person","Total","Total","6 098 190",""
"2050","Euro area - 19 countries  (from 2015)","Baseline projections","Person","Total","Total","344 415 478",""
"2050","Estonia","Baseline projections","Person","Total","Total","1 256 223",""
"2050","Greece","Baseline projections","Person","Total","Total","9 503 127",""
"2050","Spain","Baseline projections","Person","Total","Total","49 348 530",""
"2050","European Union - 27 countries (from 2020)","Baseline projections","Person","Total","Total","441 220 961",""
"2050","Finland","Baseline projections","Person","Total","Total","5 290 709",""
"2050","France","Baseline projections","Person","Total","Total","70 010 903",""
"2050","Croatia","Baseline projections","Person","Total","Total","3 392 559",""
"2050","Hungary","Baseline projections","Person","Total","Total","9 270 352",""
"2050","Ireland","Baseline projections","Person","Total","Total","6 213 191",""
"2050","Iceland","Baseline projections","Person","Total","Total","489 302",""
"2050","Italy","Baseline projections","Person","Total","Total","58 125 032",""
"2050","Liechtenstein","Baseline projections","Person","Total","Total","43 513",""
"2050","Lithuania","Baseline projections","Person","Total","Total","2 137 939",""
"2050","Luxembourg","Baseline projections","Person","Total","Total","769 048",""
"2050","Latvia","Baseline projections","Person","Total","Total","1 395 039",""
"2050","Malta","Baseline projections","Person","Total","Total","668 373",""
"2050","Netherlands","Baseline projections","Person","Total","Total","18 142 292",""
"2050","Norway","Baseline projections","Person","Total","Total","6 351 119",""
"2050","Poland","Baseline projections","Person","Total","Total","34 102 204",""
"2050","Portugal","Baseline projections","Person","Total","Total","9 375 347",""
"2050","Romania","Baseline projections","Person","Total","Total","15 502 837",""
"2050","Sweden","Baseline projections","Person","Total","Total","12 254 064",""
"2050","Slovenia","Baseline projections","Person","Total","Total","2 043 751",""
"2050","Slovakia","Baseline projections","Person","Total","Total","5 147 215",""
"2055","Austria","Baseline projections","Person","Total","Total","9 328 259",""
"2055","Belgium","Baseline projections","Person","Total","Total","11 900 354",""
"2055","Bulgaria","Baseline projections","Person","Total","Total","5 490 809",""
"2055","Switzerland","Baseline projections","Person","Total","Total","10 144 812",""
"2055","Cyprus","Baseline projections","Person","Total","Total","1 060 363",""
"2055","Czechia","Baseline projections","Person","Total","Total","10 484 879",""
"2055","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","82 248 032",""
