"TIME","GEO","AGE","AGEDEF","UNIT","Value","Flag and Footnotes"
"1966","Belgium","Total","Age in completed years","Number","2.52008",""
"1966","Bulgaria","Total","Age in completed years","Number","2.02712",""
"1966","Belarus","Total","Age in completed years","Number",":",""
"1966","Switzerland","Total","Age in completed years","Number","2.49990",""
"1966","Cyprus","Total","Age in completed years","Number",":",""
"1966","Czechia","Total","Age in completed years","Number","2.02246",""
"1966","Germany including former GDR","Total","Age in completed years","Number",":",""
"1966","Denmark","Total","Age in completed years","Number","2.61543",""
"1966","Estonia","Total","Age in completed years","Number","1.87341",""
"1966","Greece","Total","Age in completed years","Number","2.31743",""
"1966","Spain","Total","Age in completed years","Number",":",""
"1966","Finland","Total","Age in completed years","Number","2.40722",""
"1966","France","Total","Age in completed years","Number",":",""
"1966","Georgia","Total","Age in completed years","Number",":",""
"1966","Croatia","Total","Age in completed years","Number",":",""
"1966","Hungary","Total","Age in completed years","Number","1.88682",""
"1966","Ireland","Total","Age in completed years","Number","3.93632",""
"1966","Iceland","Total","Age in completed years","Number","3.58565",""
"1966","Italy","Total","Age in completed years","Number","2.57434",""
"1966","Liechtenstein","Total","Age in completed years","Number",":",""
"1966","Lithuania","Total","Age in completed years","Number",":",""
"1966","Luxembourg","Total","Age in completed years","Number",":",""
"1966","Latvia","Total","Age in completed years","Number",":",""
"1966","Moldova","Total","Age in completed years","Number",":",""
"1966","Montenegro","Total","Age in completed years","Number",":",""
"1966","North Macedonia","Total","Age in completed years","Number",":",""
"1966","Malta","Total","Age in completed years","Number",":",""
"1966","Netherlands","Total","Age in completed years","Number","2.90202",""
"1966","Norway","Total","Age in completed years","Number","2.90311",""
"1966","Poland","Total","Age in completed years","Number",":",""
"1966","Portugal","Total","Age in completed years","Number","3.16110",""
"1966","Romania","Total","Age in completed years","Number",":",""
"1966","Serbia","Total","Age in completed years","Number",":",""
"1966","Russia","Total","Age in completed years","Number",":",""
"1966","Sweden","Total","Age in completed years","Number",":",""
"1966","Slovenia","Total","Age in completed years","Number",":",""
"1966","Slovakia","Total","Age in completed years","Number","2.66193",""
"1966","San Marino","Total","Age in completed years","Number",":",""
"1966","Turkey","Total","Age in completed years","Number",":",""
"1966","Ukraine","Total","Age in completed years","Number",":",""
"1966","United Kingdom","Total","Age in completed years","Number",":",""
"1966","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Age in completed years","Number",":",""
"1967","Andorra","Total","Age in completed years","Number",":",""
"1967","Albania","Total","Age in completed years","Number",":",""
"1967","Armenia","Total","Age in completed years","Number",":",""
"1967","Austria","Total","Age in completed years","Number","2.61916",""
"1967","Azerbaijan","Total","Age in completed years","Number",":",""
"1967","Belgium","Total","Age in completed years","Number","2.40963",""
"1967","Bulgaria","Total","Age in completed years","Number","2.02411",""
"1967","Belarus","Total","Age in completed years","Number",":",""
"1967","Switzerland","Total","Age in completed years","Number","2.39416",""
"1967","Cyprus","Total","Age in completed years","Number",":",""
"1967","Czechia","Total","Age in completed years","Number","1.90845",""
"1967","Germany including former GDR","Total","Age in completed years","Number",":",""
"1967","Denmark","Total","Age in completed years","Number","2.35113",""
"1967","Estonia","Total","Age in completed years","Number","1.90211",""
"1967","Greece","Total","Age in completed years","Number","2.44753",""
"1967","Spain","Total","Age in completed years","Number",":",""
"1967","Finland","Total","Age in completed years","Number","2.32201",""
"1967","France","Total","Age in completed years","Number",":",""
"1967","Georgia","Total","Age in completed years","Number",":",""
"1967","Croatia","Total","Age in completed years","Number",":",""
"1967","Hungary","Total","Age in completed years","Number","2.01170",""
"1967","Ireland","Total","Age in completed years","Number","3.83656",""
"1967","Iceland","Total","Age in completed years","Number","3.28371",""
"1967","Italy","Total","Age in completed years","Number","2.49916",""
"1967","Liechtenstein","Total","Age in completed years","Number",":",""
"1967","Lithuania","Total","Age in completed years","Number",":",""
"1967","Luxembourg","Total","Age in completed years","Number","2.23774",""
"1967","Latvia","Total","Age in completed years","Number",":",""
"1967","Moldova","Total","Age in completed years","Number",":",""
"1967","Montenegro","Total","Age in completed years","Number",":",""
"1967","North Macedonia","Total","Age in completed years","Number",":",""
"1967","Malta","Total","Age in completed years","Number",":",""
"1967","Netherlands","Total","Age in completed years","Number","2.81356",""
"1967","Norway","Total","Age in completed years","Number","2.80913",""
"1967","Poland","Total","Age in completed years","Number",":",""
"1967","Portugal","Total","Age in completed years","Number","3.15827",""
"1967","Romania","Total","Age in completed years","Number",":",""
"1967","Serbia","Total","Age in completed years","Number",":",""
"1967","Russia","Total","Age in completed years","Number",":",""
"1967","Sweden","Total","Age in completed years","Number",":",""
"1967","Slovenia","Total","Age in completed years","Number",":",""
"1967","Slovakia","Total","Age in completed years","Number","2.48424",""
"1967","San Marino","Total","Age in completed years","Number",":",""
"1967","Turkey","Total","Age in completed years","Number",":",""
"1967","Ukraine","Total","Age in completed years","Number",":",""
"1967","United Kingdom","Total","Age in completed years","Number",":",""
"1967","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Age in completed years","Number",":",""
"1968","Andorra","Total","Age in completed years","Number",":",""
"1968","Albania","Total","Age in completed years","Number",":",""
"1968","Armenia","Total","Age in completed years","Number",":",""
"1968","Austria","Total","Age in completed years","Number","2.58385",""
"1968","Azerbaijan","Total","Age in completed years","Number",":",""
"1968","Belgium","Total","Age in completed years","Number","2.30965",""
"1968","Bulgaria","Total","Age in completed years","Number","2.27155",""
"1968","Belarus","Total","Age in completed years","Number",":",""
"1968","Switzerland","Total","Age in completed years","Number","2.28843",""
"1968","Cyprus","Total","Age in completed years","Number",":",""
"1968","Czechia","Total","Age in completed years","Number","1.83844",""
"1968","Germany including former GDR","Total","Age in completed years","Number",":",""
"1968","Denmark","Total","Age in completed years","Number","2.11776",""
"1968","Estonia","Total","Age in completed years","Number","2.03144",""
"1968","Greece","Total","Age in completed years","Number","2.41822",""
"1968","Spain","Total","Age in completed years","Number",":",""
"1968","Finland","Total","Age in completed years","Number","2.13886",""
"1968","France","Total","Age in completed years","Number",":",""
"1968","Georgia","Total","Age in completed years","Number",":",""
"1968","Croatia","Total","Age in completed years","Number",":",""
"1968","Hungary","Total","Age in completed years","Number","2.06325",""
"1968","Ireland","Total","Age in completed years","Number","3.76865",""
"1968","Iceland","Total","Age in completed years","Number","3.06438",""
"1968","Italy","Total","Age in completed years","Number","2.49309",""
"1968","Liechtenstein","Total","Age in completed years","Number",":",""
"1968","Lithuania","Total","Age in completed years","Number",":",""
"1968","Luxembourg","Total","Age in completed years","Number","2.12197",""
"1968","Latvia","Total","Age in completed years","Number",":",""
"1968","Moldova","Total","Age in completed years","Number",":",""
"1968","Montenegro","Total","Age in completed years","Number",":",""
"1968","North Macedonia","Total","Age in completed years","Number",":",""
"1968","Malta","Total","Age in completed years","Number",":",""
"1968","Netherlands","Total","Age in completed years","Number","2.71528",""
"1968","Norway","Total","Age in completed years","Number","2.75137",""
"1968","Poland","Total","Age in completed years","Number",":",""
"1968","Portugal","Total","Age in completed years","Number","3.12224",""
"1968","Romania","Total","Age in completed years","Number",":",""
"1968","Serbia","Total","Age in completed years","Number",":",""
"1968","Russia","Total","Age in completed years","Number",":",""
"1968","Sweden","Total","Age in completed years","Number","2.07315",""
"1968","Slovenia","Total","Age in completed years","Number",":",""
"1968","Slovakia","Total","Age in completed years","Number","2.38652",""
"1968","San Marino","Total","Age in completed years","Number",":",""
"1968","Turkey","Total","Age in completed years","Number",":",""
"1968","Ukraine","Total","Age in completed years","Number",":",""
"1968","United Kingdom","Total","Age in completed years","Number",":",""
"1968","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Age in completed years","Number",":",""
"1969","Andorra","Total","Age in completed years","Number",":",""
"1969","Albania","Total","Age in completed years","Number",":",""
"1969","Armenia","Total","Age in completed years","Number",":",""
"1969","Austria","Total","Age in completed years","Number","2.48572",""
"1969","Azerbaijan","Total","Age in completed years","Number",":",""
"1969","Belgium","Total","Age in completed years","Number","2.27395",""
"1969","Bulgaria","Total","Age in completed years","Number","2.27007",""
"1969","Belarus","Total","Age in completed years","Number",":",""
"1969","Switzerland","Total","Age in completed years","Number","2.19311",""
"1969","Cyprus","Total","Age in completed years","Number",":",""
"1969","Czechia","Total","Age in completed years","Number","1.87449",""
"1969","Germany including former GDR","Total","Age in completed years","Number",":",""
"1969","Denmark","Total","Age in completed years","Number","1.99873",""
"1969","Estonia","Total","Age in completed years","Number","2.12755",""
"1969","Greece","Total","Age in completed years","Number","2.35682",""
"1969","Spain","Total","Age in completed years","Number",":",""
"1969","Finland","Total","Age in completed years","Number","1.92871",""
"1969","France","Total","Age in completed years","Number",":",""
"1969","Georgia","Total","Age in completed years","Number",":",""
"1969","Croatia","Total","Age in completed years","Number",":",""
"1969","Hungary","Total","Age in completed years","Number","2.03826",""
"1969","Ireland","Total","Age in completed years","Number","3.83041",""
"1969","Iceland","Total","Age in completed years","Number","2.99066",""
"1969","Italy","Total","Age in completed years","Number","2.46351",""
"1969","Liechtenstein","Total","Age in completed years","Number",":",""
"1969","Lithuania","Total","Age in completed years","Number",":",""
"1969","Luxembourg","Total","Age in completed years","Number","2.01769",""
"1969","Latvia","Total","Age in completed years","Number",":",""
"1969","Moldova","Total","Age in completed years","Number",":",""
"1969","Montenegro","Total","Age in completed years","Number",":",""
"1969","North Macedonia","Total","Age in completed years","Number",":",""
"1969","Malta","Total","Age in completed years","Number",":",""
"1969","Netherlands","Total","Age in completed years","Number","2.74786",""
"1969","Norway","Total","Age in completed years","Number","2.69550",""
"1969","Poland","Total","Age in completed years","Number",":",""
"1969","Portugal","Total","Age in completed years","Number","3.12193",""
"1969","Romania","Total","Age in completed years","Number",":",""
"1969","Serbia","Total","Age in completed years","Number",":",""
"1969","Russia","Total","Age in completed years","Number",":",""
"1969","Sweden","Total","Age in completed years","Number","1.92822",""
"1969","Slovenia","Total","Age in completed years","Number",":",""
"1969","Slovakia","Total","Age in completed years","Number","2.42775",""
"1969","San Marino","Total","Age in completed years","Number",":",""
"1969","Turkey","Total","Age in completed years","Number",":",""
"1969","Ukraine","Total","Age in completed years","Number",":",""
"1969","United Kingdom","Total","Age in completed years","Number",":",""
"1969","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Age in completed years","Number",":",""
"1970","Andorra","Total","Age in completed years","Number",":",""
"1970","Albania","Total","Age in completed years","Number",":",""
"1970","Armenia","Total","Age in completed years","Number",":",""
"1970","Austria","Total","Age in completed years","Number","2.29064",""
"1970","Azerbaijan","Total","Age in completed years","Number",":",""
"1970","Belgium","Total","Age in completed years","Number","2.25107",""
"1970","Bulgaria","Total","Age in completed years","Number","2.17483",""
"1970","Belarus","Total","Age in completed years","Number",":",""
"1970","Switzerland","Total","Age in completed years","Number","2.10430",""
"1970","Cyprus","Total","Age in completed years","Number",":",""
"1970","Czechia","Total","Age in completed years","Number","1.91837",""
"1970","Germany including former GDR","Total","Age in completed years","Number",":",""
"1970","Denmark","Total","Age in completed years","Number","1.95024",""
"1970","Estonia","Total","Age in completed years","Number","2.16847",""
"1970","Greece","Total","Age in completed years","Number","2.39892",""
"1970","Spain","Total","Age in completed years","Number",":",""
"1970","Finland","Total","Age in completed years","Number","1.82573",""
"1970","France","Total","Age in completed years","Number",":",""
"1970","Georgia","Total","Age in completed years","Number",":",""
"1970","Croatia","Total","Age in completed years","Number",":",""
"1970","Hungary","Total","Age in completed years","Number","1.97932",""
"1970","Ireland","Total","Age in completed years","Number","3.85240",""
"1970","Iceland","Total","Age in completed years","Number","2.81491",""
"1970","Italy","Total","Age in completed years","Number","2.38282",""
"1970","Liechtenstein","Total","Age in completed years","Number",":",""
"1970","Lithuania","Total","Age in completed years","Number","2.40064",""
"1970","Luxembourg","Total","Age in completed years","Number","1.96891",""
"1970","Latvia","Total","Age in completed years","Number",":",""
"1970","Moldova","Total","Age in completed years","Number",":",""
